a,b,c,d
122.3397096,28.82044686,148.0541616,27.99544708
123.6280992,28.82044686,149.3096328,28.21362884
124.9164888,28.82044686,150.5708952,28.48635604
126.2051832,28.82044686,151.8510552,28.77953778
127.4935728,28.82044686,153.1534656,28.96362864
128.7819624,28.82044686,154.4555712,28.97044682
130.070352,28.82044686,155.742132,29.00453772
131.3590464,28.82044686,157.0320456,29.23635584
132.647436,28.82044686,158.3487816,29.56362848
133.935216,28.83408322,159.6899016,29.68635572
135.2257392,28.83408322,161.0249256,29.51590122
136.5196152,28.71817416,162.3328224,29.27726492
137.8070904,28.3977197,163.6254792,29.26362856
139.07262,27.8863562,164.9284992,29.56362848
140.3027928,27.33408362,166.2589512,30.0340829
141.5027904,26.98635644,167.61714,30.45681006
142.6957776,26.93862918,168.9923976,30.70226454
143.8994328,27.0681746,170.3746656,30.76362816
145.116804,27.21817456,171.7514472,30.68181
146.3396616,27.28635636,173.1181704,30.60681002
147.5616048,27.2386291,174.4809312,30.63408274
148.7783664,27.14999276,175.8503976,30.75680998
149.9884224,27.08862914,177.2314464,30.85908268
151.1957352,27.08862914,178.6161528,30.87953722
152.4054864,27.14317458,179.9978112,30.8181736
153.622248,27.21817456,181.375812,30.6477191
154.8423624,27.25226546,182.7477168,30.32044646
156.060648,27.25226546,184.0995048,29.81590114
157.2789336,27.25226546,185.4153264,29.31135582
158.497524,27.25226546,186.7012776,29.09317406
159.7158096,27.25226546,187.9875336,29.31135582
160.9340952,27.25226546,189.3048792,29.78862842
162.1526856,27.25226546,190.6551432,30.22499194
163.3715808,27.24544728,192.0218664,30.47044642
164.5883424,27.2386291,193.3931616,30.4772646
165.8017512,27.32044726,194.7598848,30.22499194
167.0179032,27.62726536,196.1135016,29.70681026
168.254172,28.1931743,197.4262752,28.95681046
169.5291504,28.89544684,198.7000344,28.25453792
170.8455816,29.48181032,199.935084,27.89317438
172.1842632,29.78862842,201.1646472,27.98181072
173.5229448,29.89090112,202.4182896,28.34999244
174.8564448,29.98635564,203.7036312,28.65681054
176.195736,30.1704465,205.00086,28.65681054
177.5508768,30.4090828,206.2837632,28.41817424
178.9197336,30.59317366,207.5410632,28.16590158
180.2931624,30.67499182,208.788,28.10453796
181.6656768,30.68181,210.0453,28.14544704
183.0372768,30.68181,211.3123536,28.0909016
184.408572,30.67499182,212.5708728,27.8522653
185.780172,30.67499182,213.8068368,27.53862902
187.1514672,30.67499182,215.0254272,27.32726544
188.5230672,30.68181,216.24036,27.25226546
189.8958864,30.65453728,217.458036,27.25908364
191.2659624,30.59317366,218.6784552,27.25908364
192.630552,30.5454464,219.8961312,27.25226546
193.9933128,30.5454464,221.111064,27.32044726
195.3582072,30.59317366,222.3293496,27.53181084
196.728588,30.65453728,223.5610464,27.91362892
198.1014072,30.68181,224.8198704,28.3636288
199.4730072,30.68181,226.1064312,28.65681054
200.8446072,30.68181,227.399088,28.71135598
202.2155976,30.68862818,228.6810768,28.69090144
203.5884168,30.70226454,229.9527024,28.81362868
204.9648936,30.6136282,231.2389584,29.18862858
206.3386272,30.32044646,232.5599616,29.5909012
207.693768,29.74771934,233.90352,29.72044662
209.0068464,28.977265,235.2418968,29.47499214
210.2842632,28.19999248,236.5510128,29.0454468
211.5202272,27.63408354,237.8296488,28.75226506
212.7372936,27.3409018,239.0985312,28.81362868
213.9516168,27.25226546,240.3826536,29.22271948
215.1692928,27.25908364,241.701828,29.78862842
216.3891024,27.27272,243.0539208,30.2386283
217.6083024,27.27272,244.4209488,30.4772646
218.8271976,27.27272,245.7901104,30.53181004
220.0463976,27.27272,247.1574432,30.43635552
221.2655976,27.27272,248.5205088,30.18408286
222.4847976,27.27272,249.8683344,29.7613557
223.7039976,27.27272,251.187204,29.26362856
224.9231976,27.27272,252.4786416,28.82726504
226.1423976,27.27272,253.7569728,28.49317422
227.3615976,27.27272,255.0267696,28.15226522
228.5807976,27.27272,256.2810216,27.72953806
229.7999976,27.27272,257.5108896,27.23181092
231.0188928,27.27272,258.7133256,26.77499286
232.2383976,27.27272,259.8971688,26.42726568
233.4572928,27.27272,261.071868,26.14090212
234.6764928,27.27272,262.2383376,25.78635676
235.8959976,27.27272,263.3874336,25.28181144
237.1151976,27.27272,264.5051352,24.70226614
238.332264,27.3068109,265.5896136,24.21135718
239.54994,27.46362904,266.6551944,23.9318118
240.7770648,27.77726532,267.7168128,23.84317546
242.0255256,28.19999248,268.7823936,23.84999364
243.3001992,28.60908328,269.8494984,23.86363
244.5925512,28.86817412,270.9159936,23.87726636
245.8909992,28.99771954,271.9840128,23.88408454
247.1924952,28.977265,273.0559944,23.7954482
248.4936864,28.73181052,274.1258424,23.48181192
249.7814664,28.1931743,275.1743544,22.8749939
251.0213928,27.34771998,276.1798896,22.13181228
252.2232192,26.39317478,277.1427528,21.55908516
253.3826784,25.61590226,278.0845848,21.32726704
254.5061712,25.07044786,279.0340368,21.32044886
255.6132048,24.70226614,279.9959856,21.2727216
256.7046936,24.56590254,280.9500096,21.0340853
257.7897816,24.74317522,281.8808688,20.72044902
258.895596,25.17953874,282.7946592,20.50226726
260.0434728,25.568175,283.704792,20.43408546
261.2117712,25.52726592,284.617668,20.44090364
262.3572096,25.03635696,285.5326776,20.45454
263.4572328,24.41590258,286.4470776,20.45454
264.5249472,23.9999936,287.3614776,20.45454
265.5847368,23.86363,288.2755728,20.45454
266.6503176,23.87044818,289.1899728,20.45454
267.7232136,23.7954482,290.1043728,20.45454
268.7918424,23.50226646,291.0187728,20.45454
269.8421832,22.93635752,291.932868,20.46135818
270.8504616,22.159085,292.8475728,20.47499454
271.8233832,21.38181248,293.7650208,20.44772182
272.7545472,20.81590354,294.6827736,20.31135822
273.6668136,20.5227218,295.5922968,20.00454012
274.5766416,20.4204491,296.4807888,19.56135842
275.4892128,20.39999456,297.3412392,19.11817672
276.4005648,20.3863582,298.1809632,18.81135862
277.3106976,20.3863582,299.0115432,18.67499502
278.22144,20.40681274,299.8433424,18.66135866
279.1349256,20.44090364,300.6803232,18.6477223
280.05024,20.45454,301.517304,18.51817688
280.9640304,20.46817636,302.3454456,18.25226786
281.8799544,20.47499454,303.1559088,17.87044978
282.7983168,20.40681274,303.943512,17.4886317
283.7133264,20.20226734,304.7128272,17.20908632
284.6155344,19.82726744,305.4733032,17.06590454
285.4942728,19.31590394,306.23256,17.03181364
286.3455792,18.749995,306.9939504,17.03863182
287.1706728,18.18408606,307.7562552,17.04545
287.9680296,17.67272256,308.5182552,17.04545
288.7425264,17.29772266,309.2796456,17.05908636
289.503612,17.09317726,310.0431696,17.06590454
290.2616496,17.02499546,310.8094368,16.99090456
291.0221256,17.03181364,311.5714368,16.78635916
291.7847352,17.04545,312.3185016,16.47954106
292.5464304,17.04545,313.0445352,16.17272296
293.3084304,17.05226818,313.7562432,15.97499574
294.0713448,17.04545,314.4673416,15.84545032
294.8342592,17.0113591,315.1778304,15.64090492
295.5953448,16.92954094,315.8773464,15.26590502
296.3506392,16.81363188,316.5512592,14.76817788
297.0986184,16.69772282,317.193168,14.35908708
297.841416,16.62272284,317.8177032,14.20226894
298.5817752,16.58863194,318.4468104,14.2840871
299.322744,16.58181376,319.0923768,14.39999616
300.0643224,16.58181376,319.745868,14.36590526
300.8052912,16.58863194,320.3886912,14.15454168
301.5456504,16.62272284,321.0132264,13.90226902
302.288448,16.71135918,321.6258744,13.73181452
303.036732,16.8409046,322.2348648,13.65681454
303.79416,16.96363184,322.84416,13.64317818
304.5598176,16.97045002,323.4534552,13.63636
305.3236464,16.79317734,324.0630552,13.63636
306.074064,16.42499562,324.6726552,13.63636
306.8004024,15.90681394,325.2822552,13.63636
307.499004,15.340905,325.8918552,13.63636
308.1720024,14.77499606,326.5014552,13.63636
308.817264,14.26363256,327.1104456,13.64999636
309.439056,13.88863266,327.7215696,13.65681454
310.0480464,13.68408726,328.3360464,13.5681782
310.653684,13.61590546,328.9474752,13.27499646
311.26176,13.62272364,329.5381776,12.77726932
311.8719696,13.63636,330.092304,12.26590582
312.4815696,13.63636,330.6189984,11.97954226
313.0911696,13.63636,331.1456928,11.931815
313.7007696,13.63636,331.6857984,11.88408774
314.3103696,13.63636,332.2262088,11.59772418
314.9199696,13.63636,332.7385776,11.08636068
315.5295696,13.63636,333.21498,10.58863354
316.1391696,13.63636,333.6703512,10.2954518
316.7487696,13.63636,334.1223696,10.20681546
317.3583696,13.63636,334.5783504,10.21363364
317.96736,13.64999636,335.03616,10.22727
318.578484,13.65681454,335.4936648,10.21363364
319.1920464,13.58863274,335.9496456,10.20681546
319.802256,13.37726916,336.4025784,10.28181544
320.3993592,13.00908744,336.8591688,10.49317902
320.9732976,12.49772394,337.3325232,10.8068153
321.519804,11.931815,337.829652,11.05908796
322.0404024,11.36590606,338.3380584,11.05908796
322.533264,10.85454256,338.8351872,10.8068153
323.002656,10.47954266,339.3085416,10.49317902
323.4586368,10.28181544,339.7654368,10.28181544
323.9127888,10.22727,340.2183696,10.20681546
324.372732,10.17272456,340.6740456,10.21363364
324.829932,10.00908824,341.1318552,10.22727
325.2706728,9.82499738,341.5890552,10.22727
325.6964784,9.83863374,342.0462552,10.22727
326.1277704,10.17272456,342.5034552,10.22727
326.5904568,10.73181532,342.9606552,10.22727
327.0906336,11.24317882,343.4178552,10.22727
327.6115368,11.53636056,343.8750552,10.22727
328.1357928,11.61817872,344.3322552,10.22727
328.655172,11.60454236,344.7894552,10.22727
329.1727224,11.590906,345.2466552,10.22727
329.6911872,11.590906,345.7038552,10.22727
330.2099568,11.56363328,346.1610552,10.22727
330.7272024,11.50226966,346.6182552,10.22727
331.2404856,11.4204515,347.0754552,10.22727
331.7482824,11.33181516,347.5326552,10.22727
332.251812,11.27726972,347.9898552,10.22727
332.7541224,11.249997,348.4470552,10.22727
333.2564328,11.249997,348.9042552,10.22727
333.7593528,11.25681518,349.3614552,10.22727
334.2625776,11.26363336,349.8186552,10.22727
334.7670216,11.249997,350.2758552,10.22727
335.27238,11.17499702,350.7330552,10.22727
335.7725568,10.99772434,351.1902552,10.22727
336.2608464,10.7386335,351.6474552,10.22727
336.7326768,10.47954266,352.10496,10.22727
337.19262,10.30226998,352.5615504,10.24090636
337.6473816,10.22727,353.0196648,10.25454272
338.1030576,10.21363364,353.4814368,10.19999728
338.5602576,10.22045182,353.94138,10.00227006
339.0174576,10.22045182,354.384864,9.6818156
339.4737432,10.22727,354.8042688,9.42272476
339.9294192,10.28181544,355.2105672,9.40227022
340.3881432,10.3977245,355.6275336,9.64090652
340.8554016,10.568179,356.0682744,9.96136098
341.333328,10.7386335,356.526084,10.17272456
341.8191792,10.85454256,356.9875512,10.24772454
342.3083832,10.909088,357.4459704,10.24090636
342.7969776,10.91590618,357.9028656,10.22727
343.2846576,10.909088,358.3600656,10.22727
343.7720328,10.91590618,358.8172656,10.22727
344.260932,10.909088,359.2744656,10.22727
344.750136,10.86136074,359.7316656,10.22727
345.236292,10.7386335,360.1894752,10.21363364
345.7139136,10.568179,360.6451512,10.20681546
346.1808672,10.3977245,361.0974744,10.2954518
346.6395912,10.27499726,361.5525408,10.58863354
347.095572,10.22727,362.0265048,11.15454248
347.5515528,10.22045182,362.5419216,11.931815
348.008448,10.22727,363.093,12.70226934
348.4659528,10.24090636,363.6861408,13.27499646
348.9249816,10.22727,364.2978744,13.5681782
349.3840104,10.14545184,364.9123512,13.65681454
349.8384672,9.96817916,365.5234752,13.64999636
350.280732,9.7159065,366.1324656,13.63636
350.7071472,9.46363384,366.7420656,13.63636
351.1213704,9.28636116,367.3516656,13.63636
351.5310216,9.204543,367.9612656,13.63636
351.9406728,9.19090664,368.5708656,13.63636
352.351848,9.19772482,369.1804656,13.63636
352.7636328,9.19772482,369.7900656,13.63636
353.1738936,9.21136118,370.3996656,13.63636
353.5850688,9.25908844,371.0092656,13.63636
353.9999016,9.33408842,371.6188656,13.63636
354.4193064,9.42272476,372.2284656,13.63636
354.843588,9.49090656,372.8377608,13.63636
355.2700032,9.52499746,373.4479704,13.62272364
355.6967232,9.545452,374.0560464,13.62272364
356.1240528,9.55227018,374.6607696,13.71135998
356.5510776,9.545452,375.2694552,14.00454172
356.9777976,9.53863382,375.8970384,14.5227234
357.4026888,9.55227018,376.5587592,15.19090504
357.8278848,9.64090652,377.25858,15.81135942
358.2585672,9.81136102,377.985528,16.2272684
358.7005272,10.0568155,378.7240584,16.41817744
359.1574224,10.30226998,379.4628936,16.45908652
359.6259,10.47272448,380.1986808,16.44545016
360.099864,10.56136082,380.932944,16.4318138
360.5741328,10.57499718,381.6669024,16.44545016
361.0468776,10.568179,382.4008608,16.48635924
361.5190128,10.54772446,383.1372576,16.59545012
361.9887096,10.568179,383.8809696,16.74545008
362.457492,10.69772442,384.6344352,16.89545004
362.9338944,10.99090616,385.3949112,16.99772274
363.4307184,11.4204515,386.1581304,17.04545
363.9549744,11.84999684,386.9210448,17.05226818
364.4993472,12.14317858,387.6836544,17.03863182
365.0516448,12.272724,388.4441304,17.02499546
365.603028,12.29317854,389.2009488,17.1136318
366.1525824,12.26590582,389.9608152,17.40681354
366.6996984,12.25226946,390.7395792,17.97272248
367.242852,12.3409058,391.5601008,18.749995
367.7893584,12.65454208,392.4159792,19.52726752
368.3556768,13.24772374,393.31392,20.09317646
368.9674104,14.06590534,394.2304536,20.3863582
369.6132816,14.88408694,395.1497304,20.47499454
370.304568,15.48408678,396.0659592,20.45454
371.0184096,15.75681398,396.9794448,20.42726728
371.7319464,15.73635944,397.8917112,20.41363092
372.4317672,15.62045038,398.803368,20.41363092
373.1203104,15.62726856,399.7156344,20.42726728
373.8137304,15.86590486,400.6297296,20.44772182
374.529096,16.24772294,401.5447392,20.45454
375.2694552,16.59545012,402.4588344,20.45454
376.0235304,16.79317734,403.3732344,20.45454
376.7797392,16.84772278,404.288244,20.44090364
377.5325952,16.83408642,405.2014248,20.43408546
378.284232,16.82726824,406.1115576,20.50226726
379.0364784,16.82726824,407.025348,20.70681266
379.7887248,16.82726824,407.9522448,21.08181256
380.5406664,16.82726824,408.9020016,21.59317606
381.2929128,16.82726824,409.8794952,22.159085
382.0448544,16.82726824,410.8832016,22.72499394
382.7971008,16.82726824,411.91434,23.23635744
383.5493472,16.82726824,412.968948,23.61135734
384.3015936,16.82726824,414.0363576,23.81590274
385.0535352,16.82726824,415.10712,23.88408454
385.8057816,16.82726824,416.175444,23.87726636
386.5577232,16.82726824,417.2416344,23.86363
387.3099696,16.82726824,418.3084344,23.86363
388.062216,16.82726824,419.3752344,23.86363
388.8141576,16.82726824,420.4420344,23.86363
389.566404,16.82726824,421.5088344,23.86363
390.3186504,16.82726824,422.5756344,23.86363
391.070592,16.82726824,423.6424344,23.86363
391.8228384,16.82726824,424.7092344,23.86363
392.57478,16.82726824,425.7760344,23.86363
393.3270264,16.82726824,426.8428344,23.86363
394.0792728,16.82045006,427.9096344,23.86363
394.8312144,16.82045006,428.9764344,23.86363
395.5834608,16.82726824,430.0432344,23.86363
396.3354024,16.82726824,431.1100344,23.86363
397.0882584,16.81363188,432.17592,23.89090272
397.8398952,16.79317734,433.2418056,23.97953906
398.5893984,16.7727228,434.3131776,24.18408446
399.338292,16.7727228,435.3988752,24.46362984
400.0884048,16.77954098,436.5004224,24.74317522
400.8382128,16.79317734,437.6126376,25.01590242
401.5840584,16.92954094,438.7327776,25.3636296
402.3350856,17.3181772,439.8693768,25.85453856
403.1181168,18.02726792,441.0376752,26.43408386
403.946868,18.98181312,442.2391968,26.92499282
404.8152432,19.93635832,443.459616,27.2045382
405.7293384,20.64544904,444.6839976,27.29317454
406.6751328,21.0340853,445.9047216,27.27953818
407.6267184,21.15681254,447.123312,27.27272
408.5731224,21.14999436,448.3422072,27.27272
409.5173928,21.14317618,449.5614072,27.27272
410.4647112,21.12272164,450.7806072,27.27272
411.4102008,21.0340853,451.9998072,27.27272
412.3459368,20.95908532,453.219312,27.27272
413.2734432,21.06135802,454.438512,27.27272
414.2082648,21.46363064,455.6580168,27.25908364
415.1766144,22.14544864,456.8759976,27.25226546
416.1842832,22.90226662,458.0909304,27.32726544
417.2327952,23.47499374,459.3101304,27.53181084
418.3008144,23.78863002,460.5448752,27.82499258
419.372796,23.88408454,461.7985176,28.1249925
420.44112,23.87726636,463.0634376,28.3977197
421.5073104,23.86363,464.3335392,28.73181052
422.5741104,23.86363,465.6197952,29.2499922
423.6409104,23.86363,466.9404936,29.8636284
424.7077104,23.86363,468.2980728,30.35453736
425.7745104,23.86363,469.6727208,30.58635548
426.8413104,23.86363,471.0449304,30.62726456
427.9081104,23.86363,472.4116536,30.64090092
428.97552,23.84999364,473.7802056,30.70908272
430.040796,23.84317546,475.1566824,30.81135542
431.1027192,23.9318118,476.5377312,30.86590086
432.1701288,24.1704481,477.91878,30.87953722
433.2561312,24.5113571,479.3001336,30.86590086
434.3640792,24.8181752,480.6799632,30.83180996
435.4851336,24.9886297,482.0576592,30.7840827
436.60314,25.08408422,483.4320024,30.72953726
437.7214512,25.27499326,484.804212,30.69544636
438.854088,25.568175,486.1752024,30.68181
440.0074512,25.86135674,487.5464976,30.68181
441.1745304,26.07272032,488.9180976,30.68181
442.3431336,26.20226574,490.2896976,30.68181
443.5123464,26.39999296,491.6616024,30.68181
444.69558,26.70681106,493.0328976,30.68181
445.8998448,27.01362916,494.4048024,30.68181
447.11874,27.21817456,495.7764024,30.68181
448.342512,27.29317454,497.148612,30.66817364
449.5629312,27.28635636,498.518688,30.66135546
450.7818264,27.27272,499.8835824,30.77726452
452.0007216,27.27272,501.2570112,31.09771898
453.2199216,27.27272,502.6533,31.55453704
454.4391216,27.27272,504.0770208,32.06590054
455.6589312,27.26590182,505.5239064,32.54999132
456.876912,27.25226546,506.9872512,32.9999912
458.0918448,27.32726544,508.4728464,33.45680926
459.3104352,27.53862902,509.9843496,33.83180916
460.5457896,27.8522653,511.5089592,34.03635456
461.8049184,28.10453796,513.0366168,34.10453636
463.0759344,28.0909016,514.5612264,34.11135454
464.3326248,27.8522653,516.0885792,34.06362728
465.562188,27.69544716,517.6186752,33.79090008
466.7841312,27.8863562,519.1304832,33.2045366
468.0304584,28.4318106,520.5956568,32.4204459
469.3197624,29.09999224,522.0205968,31.78635516
470.6438136,29.61135574,523.4098752,31.65680974
471.9809712,29.91135566,524.8143936,32.1477187
473.32392,30.1022647,526.2701184,32.9318094
474.674184,30.2386283,527.764248,33.6136274
476.0308488,30.340901,529.2916008,34.00908184
477.3908664,30.38181008,530.8226112,34.10453636
478.7490552,30.3749919,532.3460016,34.0909
480.10572,30.39544644,533.8700016,34.0909
481.4645184,30.44999188,535.3940016,34.0909
482.8266696,30.52499186,536.9180016,34.0909
484.1936976,30.59999184,538.4423064,34.07726364
485.5640784,30.65453728,539.9650872,34.07044546
486.936288,30.68181,541.4839056,34.1590818
488.3084976,30.68862818,543.005772,34.45908172
489.6800976,30.68181,544.5456216,35.03862702
491.0516976,30.68181,546.1318008,35.85680862
492.4239072,30.66817364,547.751508,36.66135386
493.7939832,30.66135546,549.4175448,37.2272628
495.1616208,30.72953726,551.1006504,37.49317182
496.5326112,30.94090084,552.7828416,37.5340809
497.916708,31.30908256,554.4598512,37.51362636
499.3212264,31.8749915,556.1362512,37.48635364
500.7583584,32.57044586,557.8111272,37.47953546
502.2332856,33.22499114,559.48326,37.55453544
503.739912,33.73635464,561.1602696,37.74544448
505.265436,34.01590002,562.8500808,38.05226258
506.792484,34.0909,564.5578752,38.4545352
508.3177032,34.10453636,566.2900536,38.8295351
509.8426176,34.09771818,568.0417392,38.95908052
511.366008,34.08408182,569.797692,38.73408058
512.890008,34.08408182,571.524384,38.03180804
514.4137032,34.08408182,573.197736,36.96135378
515.9373984,34.08408182,574.82994,35.95226314
517.4613984,34.08408182,576.4109376,35.29089968
518.9857032,34.07726364,577.9651128,35.0454452
520.5078744,34.07044546,579.528432,35.08635428
522.0303504,34.07726364,581.1024192,35.16135426
523.5509976,34.15226362,582.675492,35.17499062
525.075912,34.3636272,584.2479552,35.17499062
526.6194192,34.60908168,585.8207232,35.17499062
528.1760328,34.75226346,587.3931864,35.17499062
529.7341704,34.84771798,588.9656496,35.17499062
531.2880408,34.98408158,590.5381128,35.17499062
532.8504456,35.2499906,592.1108808,35.17499062
534.4402824,35.49544508,593.6836488,35.16135426
536.0435304,35.46817236,595.2551976,35.14089972
537.6318432,35.1477179,596.8255272,35.12044518
539.188152,34.77953618,598.3976856,35.0454452
540.72282,34.7045362,599.9640528,34.89544524
542.2629744,35.06589974,601.5176184,34.79317254
543.8415336,35.795445,603.0669168,34.78635436
545.4597168,36.62726296,604.6192632,34.88180888
547.122096,37.2613537,606.1807536,35.113627
548.8097736,37.5681718,607.751388,35.47499054
550.4983656,37.60908088,609.3375672,36.04771766
552.177204,37.5340809,610.9661136,36.82499018
553.8517752,37.49317182,612.6300168,37.6022627
555.5272608,37.49317182,614.3359824,38.16817164
557.2030512,37.49317182,616.0605408,38.46135338
558.879756,37.49999,617.7878424,38.54998972
560.5567656,37.48635364,619.5111816,38.54317154
562.2313368,37.47953546,621.2336064,38.54317154
563.9007264,37.60908088,622.9606032,38.47498974
565.5759072,38.0113535,624.6824184,38.27044434
567.2858352,38.74771694,626.3859456,38.05226258
569.0414832,39.73635304,628.075452,37.97044442
570.8367552,40.67726188,629.7649584,38.08635348
572.6804904,41.31135262,631.472448,38.34544432
574.5489144,41.61817072,633.1979208,38.54998972
576.4219104,41.5568071,634.9279656,38.61817152
578.283324,41.16135266,636.6552672,38.63180788
580.11822,40.52726192,638.3783016,38.6931715
581.911968,39.83180756,640.1019456,38.95908052
583.663044,39.39544404,641.853936,39.3068077
585.4104624,39.28635316,643.6254336,39.49089856
587.1694632,39.2727168,645.4466136,39.49089856
